STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,FREQ,Fréquence d'observation,TIME_PERIOD,Période de temps,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unité de mesure,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie,BASE_PER,Période de base,METHODOLOGY,Méthode,DECIMALS,Decimals,PRICE_BASE,Ajustement,ADJUSTMENT,Base de prix
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2022-Q4,,2550310000000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2022-Q3,,2548696800000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2022-Q2,,2536525600000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2022-Q1,,2525357600000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2021-Q4,,2528628400000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2021-Q3,,2514037200000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2021-Q2,,2444850800000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2021-Q1,,2413938000000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2020-Q4,,2404798800000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2020-Q3,,2407394800000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.2),Perspectives Economiques 116,I,FRA,France,GDPV,"Produit intérieur brut, en volume, aux prix du marché",Q,Trimestrielle,2020-Q2,,2081961600000,,,,XDC,Monnaie nationale,0,Units,EUR,Euro,2020,,,,2,Two,L,Volumes chaînés,,
